order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-653,2025-06-24 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-654,2025-06-24 14:00:00+00:00,USDJPY,-29.783390189989543,default,25.0
PAPER-655,2025-06-24 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-656,2025-06-25 08:00:00+00:00,USDJPY,49.54382459492918,default,25.0
PAPER-657,2025-06-26 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-658,2025-06-26 06:00:00+00:00,USDJPY,-20.90977687066951,default,25.0
PAPER-659,2025-06-26 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-660,2025-06-26 07:00:00+00:00,USDJPY,-24.00039893242896,default,25.0
PAPER-661,2025-06-26 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-662,2025-06-27 00:00:00+00:00,USDJPY,49.769972448529145,default,25.0
PAPER-663,2025-06-27 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-664,2025-06-27 13:00:00+00:00,USDJPY,29.347256545442058,default,25.0
PAPER-665,2025-06-30 03:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-666,2025-06-30 05:00:00+00:00,USDJPY,-26.18019613319687,default,25.0
PAPER-667,2025-06-30 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-668,2025-06-30 12:00:00+00:00,USDJPY,37.08498078986348,default,25.0
PAPER-669,2025-06-30 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-670,2025-06-30 23:00:00+00:00,USDJPY,-24.285769273557825,default,25.0
PAPER-671,2025-06-30 23:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-672,2025-07-01 01:00:00+00:00,USDJPY,-20.64180964778225,default,25.0
PAPER-673,2025-07-01 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-674,2025-07-01 07:00:00+00:00,USDJPY,-23.09786707835643,default,25.0
PAPER-675,2025-07-01 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-676,2025-07-01 11:00:00+00:00,USDJPY,-25.06662616265121,default,25.0
PAPER-677,2025-07-01 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-678,2025-07-01 15:00:00+00:00,USDJPY,55.42959053490398,default,25.0
PAPER-679,2025-07-02 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-680,2025-07-02 12:00:00+00:00,USDJPY,45.20305644145856,default,25.0
