time,open,high,low,close,volume
2025-02-27 15:00:00+00:00,93.645,93.908,93.488,93.799,17608
2025-02-27 16:00:00+00:00,93.796,93.896,93.636,93.695,15461
2025-02-27 17:00:00+00:00,93.696,93.8,93.63,93.68,12119
2025-02-27 18:00:00+00:00,93.68,93.904,93.674,93.886,10072
2025-02-27 19:00:00+00:00,93.888,93.894,93.49,93.558,10457
2025-02-27 20:00:00+00:00,93.559,93.568,93.316,93.368,10672
2025-02-27 21:00:00+00:00,93.372,93.438,93.31,93.416,7279
2025-02-27 22:00:00+00:00,93.437,93.437,93.316,93.333,730
2025-02-27 23:00:00+00:00,93.334,93.547,93.248,93.528,3276
2025-02-28 00:00:00+00:00,93.528,93.586,93.062,93.093,6244
2025-02-28 01:00:00+00:00,93.094,93.236,92.882,92.888,15466
2025-02-28 02:00:00+00:00,92.884,93.009,92.73,92.915,14659
2025-02-28 03:00:00+00:00,92.916,93.008,92.834,92.93,12403
2025-02-28 04:00:00+00:00,92.932,93.024,92.862,92.952,11008
2025-02-28 05:00:00+00:00,92.952,93.172,92.935,93.104,11979
2025-02-28 06:00:00+00:00,93.108,93.241,93.066,93.204,11328
2025-02-28 07:00:00+00:00,93.207,93.532,93.126,93.462,9986
2025-02-28 08:00:00+00:00,93.463,93.688,93.398,93.6,10311
2025-02-28 09:00:00+00:00,93.608,93.641,93.34,93.378,12069
2025-02-28 10:00:00+00:00,93.38,93.47,93.366,93.442,7581
2025-02-28 11:00:00+00:00,93.442,93.539,93.384,93.521,8131
2025-02-28 12:00:00+00:00,93.518,93.688,93.515,93.66,9724
2025-02-28 13:00:00+00:00,93.659,93.864,93.574,93.6,13838
2025-02-28 14:00:00+00:00,93.601,93.722,93.305,93.574,16762
2025-02-28 15:00:00+00:00,93.572,93.83,93.457,93.704,16366
2025-02-28 16:00:00+00:00,93.705,93.752,93.287,93.546,16632
2025-02-28 17:00:00+00:00,93.55,93.57,93.293,93.315,16424
2025-02-28 18:00:00+00:00,93.31,93.398,93.111,93.136,16118
2025-02-28 19:00:00+00:00,93.131,93.368,93.114,93.308,14516
2025-02-28 20:00:00+00:00,93.305,93.456,93.258,93.408,16221
